fideid, riskscore, gamecount, oprating 
1045946, 133.9532863281399, 22, 2199.1363636363635 
1046101, 137.4734673264362, 38, 2196.184210526316 
1046551, 133.1304469385146, 22, 2237.181818181818 
1046713, 133.28244642408495, 48, 2157.125 
1046730, 134.58150910094525, 82, 2373.0853658536585 
104680, 132.1913165587141, 36, 2183.527777777778 
104710, 136.02057248777564, 38, 2036.6842105263158 
1048104, 133.094861350276, 132, 2432.7651515151515 
1048120, 134.78434433294703, 37, 2265.864864864865 
1048139, 134.55746859769127, 26, 2124.576923076923 
1048333, 132.81487008028316, 129, 2419.9767441860463 
1049321, 133.57837363101052, 41, 2268.0243902439024 
1049771, 131.58902097059317, 89, 2279.629213483146 
1050729, 134.06563747840946, 26, 2133.923076923077 
1051008, 133.6288090495115, 36, 2120.6388888888887 
1051024, 136.08548767091986, 24, 2245.875 
1051393, 132.16407234863996, 21, 2102.0 
1051563, 134.13735664443985, 33, 2217.2727272727275 
105198, 132.69279657012234, 41, 2208.5365853658536 
105309, 135.41938532009516, 85, 2431.176470588235 
1053361, 136.58440819330488, 33, 2070.151515151515 
1053531, 133.53150353317412, 52, 2227.653846153846 
1053787, 138.04553373875635, 28, 2232.3214285714284 
1054414, 133.72226971882864, 29, 2141.9655172413795 
1054430, 136.40974583251426, 52, 2110.1923076923076 
1054988, 132.24105226568372, 22, 2246.3636363636365 
1057472, 136.5098720251371, 30, 2287.5333333333333 
1057928, 134.63549531918582, 30, 2141.266666666667 
1058223, 128.84082778398977, 26, 2123.5 
1058401, 139.5155065265395, 25, 2082.12 
10600183, 137.8391487026358, 47, 2195.659574468085 
10600256, 137.36215237787877, 29, 2045.7586206896551 
10600620, 135.0675062276654, 28, 2256.5 
10601457, 133.71756037718734, 179, 2586.117318435754 
10601619, 135.68799900186144, 120, 2506.95 
10609962, 143.3969743348627, 23, 2069.391304347826 
10613129, 136.65799580671063, 30, 2417.0666666666666 
10614508, 135.79451932246772, 42, 1804.642857142857 
1067958, 129.26649847810884, 25, 1772.28 
1068253, 140.37166125335898, 28, 2092.535714285714 
107069, 135.1006856698714, 59, 2452.3050847457625 
10800999, 139.6656960524998, 22, 2057.681818181818 
108049, 134.4325844940222, 67, 2447.0597014925374 
108154, 136.73265420063095, 27, 2394.296296296296 
108448, 134.74590720644494, 21, 2235.5238095238096 
109746, 133.14045434317288, 50, 2236.56 
109860, 136.34737390206527, 23, 2000.9565217391305 
109878, 135.01568911807163, 25, 2267.88 
11000120, 138.8195577951464, 42, 2223.5714285714284 
11000341, 141.0303963864988, 28, 1980.7142857142858 
1100211, 130.62653991786246, 25, 2246.68 
1100599, 131.71207607663194, 29, 2087.793103448276 
110124, 138.1870244533476, 38, 2297.8684210526317 
1101684, 137.24040767422724, 26, 2180.076923076923 
1102222, 132.7035181642201, 25, 2241.64 
1102753, 135.95753479029682, 21, 2260.7619047619046 
1103261, 130.42834593279972, 38, 2382.7894736842104 
1103270, 135.40752321910506, 21, 2033.7142857142858 
1103849, 135.0921226819962, 25, 2023.2 
110418, 137.31164908134883, 38, 2026.421052631579 
1104306, 130.99050738969183, 45, 2401.6666666666665 
1105663, 134.57556875589552, 26, 2589.6923076923076 
1105680, 138.4960163006342, 32, 2469.4375 
1106147, 135.55808787035215, 41, 1870.0243902439024 
1106210, 132.97440837087746, 48, 2378.5416666666665 
1106236, 136.77482257855542, 21, 2300.4285714285716 
1106457, 138.34369756771775, 22, 2202.7727272727275 
1106619, 135.52846490828614, 138, 2336.231884057971 
1106686, 126.19035120773454, 30, 2361.733333333333 
1107038, 135.7740803970202, 108, 2502.259259259259 
1107046, 133.74830265234831, 29, 2271.0689655172414 
1108514, 129.11302331524652, 23, 1992.7391304347825 
1108760, 136.323043380253, 66, 2381.4848484848485 
1108832, 135.58048954138008, 34, 2141.529411764706 
1109057, 131.69357112721156, 39, 2409.3076923076924 
1109243, 138.72733900074138, 26, 2124.423076923077 
110973, 132.39946193408733, 92, 2486.195652173913 
1110969, 133.76254926059406, 42, 2232.8809523809523 
1111078, 131.01866068416084, 38, 2454.6315789473683 
1111400, 137.6943254216585, 36, 2067.972222222222 
1112635, 132.32468315926639, 161, 2518.4285714285716 
1112848, 134.38767347805202, 102, 2351.656862745098 
1112953, 137.146116253188, 53, 2406.811320754717 
1113100, 132.39617047308124, 62, 2355.5967741935483 
1113380, 133.57767823359663, 25, 2429.04 
1113585, 138.16647885551123, 31, 2242.2580645161293 
1114115, 135.2968529479715, 35, 2200.2285714285713 
1114565, 134.89413232068722, 50, 2246.32 
1114620, 136.7171373736747, 29, 2185.9310344827586 
1114891, 134.55505889143345, 25, 2270.0 
1115120, 131.66749221184932, 110, 2399.1454545454544 
1115308, 137.6837094893069, 31, 2148.967741935484 
1116207, 137.5152944991756, 92, 2528.282608695652 
1116657, 137.88232436158887, 31, 2060.1935483870966 
1117289, 133.01592816400597, 45, 2161.8 
1117599, 129.42578883999326, 24, 2290.4166666666665 
1118080, 133.2273953236162, 68, 2247.1911764705883 
1118358, 134.49802444685545, 128, 2599.859375 
1118803, 138.49297171342562, 26, 1455.8076923076924 
1119095, 135.0388257012264, 26, 2242.730769230769 
1119125, 133.05212262540647, 31, 2398.2580645161293 
1119206, 135.06603089858496, 23, 2390.1739130434785 
1119257, 134.9717753051203, 30, 2211.0333333333333 
1119290, 131.51598249597043, 51, 2340.0392156862745 
1119907, 136.03184728311408, 59, 2190.728813559322 
1119966, 133.34565329197028, 45, 2302.222222222222 
1120042, 128.87921564188824, 24, 2434.75 
1120239, 137.34597554510083, 29, 1891.8275862068965 
1120913, 126.71808928416526, 21, 2139.5238095238096 
1121219, 132.05356186661635, 40, 2386.8 
1121324, 140.08295781503614, 22, 2052.909090909091 
1121979, 132.0041846948363, 49, 2316.6326530612246 
1122320, 135.8661056136026, 58, 2308.4827586206898 
1122401, 132.0830049448539, 67, 2514.134328358209 
1122428, 135.90187435505675, 35, 2327.0857142857144 
1122452, 134.72106415764495, 52, 2383.730769230769 
1122681, 132.9627924681478, 39, 2339.3333333333335 
112275, 133.8941030557318, 128, 2452.796875 
1123203, 133.39737320836676, 24, 2255.4166666666665 
1123483, 137.86988918527314, 47, 1951.404255319149 
1124226, 134.34236681650916, 30, 2401.133333333333 
1124480, 131.96990339360593, 27, 2434.1111111111113 
1124552, 132.07603563286398, 41, 2326.4146341463415 
1124668, 134.1786331202801, 78, 2494.269230769231 
1125494, 132.99396071162414, 29, 2279.310344827586 
1125826, 137.57182923965826, 26, 2217.5 
1125893, 136.743293074129, 31, 2316.9032258064517 
1126415, 135.20530876634965, 26, 2435.269230769231 
1126431, 132.19609048193033, 25, 2413.64 
1126822, 134.4014884399062, 35, 2361.3142857142857 
1126881, 137.49075398566748, 60, 2559.7166666666667 
1127063, 137.55009195153318, 44, 2186.0227272727275 
1127128, 132.52407018779832, 25, 2358.48 
1127373, 132.10514213753765, 38, 2253.3684210526317 
1127950, 133.5906440113092, 62, 2259.483870967742 
1127985, 133.18647742716297, 29, 2195.896551724138 
1127993, 134.10606852680618, 64, 2362.203125 
11300280, 139.44040393561463, 22, 2195.090909090909 
11300507, 137.98131293734895, 40, 2173.775 
1130170, 134.52469034264487, 69, 2223.3333333333335 
1130420, 131.9608962410508, 127, 2529.015748031496 
1130609, 133.59724370079692, 57, 2179.1929824561403 
1130641, 134.9579341538608, 24, 2216.125 
1130790, 131.91533429566505, 31, 2307.548387096774 
1131044, 139.52051393329765, 89, 2302.2022471910113 
