fideid, sex, name, rating, country, title, k, birthday, avrisk, gamecount, oprating 
1036432, M, Zwirs Nico, 2476, NED, IM, 10, 1994, 133.89058826317418, 96, 2325.875 
1038257, M, Lai Hing Ting, 2480, NED, IM, 10, 1997, 130.74727687807848, 63, 2375.5873015873017 
1039709, M, Damen Jip, 2217, NED, NULL, 20, 1997, 121.86962233748253, 21, 2238.0476190476193 
1039784, M, Van Foreest Jorden, 2690, NED, GM, 10, 1999, 133.06986200746096, 239, 2566.192468619247 
1039792, M, Van Foreest Lucas, 2585, NED, GM, 10, 2001, 131.3722985579917, 131, 2455.7175572519086 
1040391, M, Maatman Nick, 2336, NED, IM, 10, 1995, 125.67728918065403, 22, 2247.2727272727275 
1040634, M, Kevlishvili Robby, 2536, NED, GM, 10, 2001, 135.21940750231272, 101, 2429.4257425742576 
1045946, M, Halfhide Sebastian, 2222, NED, FM, 20, 2001, 133.9532863281399, 22, 2199.1363636363635 
1046101, M, Elgersma Simon, 2207, NED, CM, 20, 2000, 137.4734673264362, 38, 2196.184210526316 
1046551, M, Mesman Edwyn, 2197, NED, NULL, 20, 1999, 133.1304469385146, 22, 2237.181818181818 
1046713, M, Hilwerda Jonas, 2289, NED, FM, 20, 2003, 133.28244642408495, 48, 2157.125 
1046730, M, Schoppen Casper, 2500, NED, GM, 10, 2002, 134.58150910094525, 82, 2373.0853658536585 
104680, M, Mussanti Diego, 2238, ARG, FM, 20, 1966, 132.1913165587141, 36, 2183.527777777778 
104710, M, Torella Rodolfo, 2026, ARG, NULL, 20, 1961, 136.02057248777564, 38, 2036.6842105263158 
1048104, M, Warmerdam Max, 2617, NED, GM, 10, 2000, 133.094861350276, 132, 2432.7651515151515 
1048120, M, De Boer Eelke, 2293, NED, FM, 20, 2003, 134.78434433294703, 37, 2265.864864864865 
1048139, M, Baselmans Sam, 2203, NED, NULL, 20, 1999, 134.55746859769127, 26, 2124.576923076923 
1048333, M, Vrolijk Liam, 2491, NED, GM, 10, 2002, 132.81487008028316, 129, 2419.9767441860463 
1049321, M, Van Baar Esper, 2219, NED, FM, 20, 1999, 133.57837363101052, 41, 2268.0243902439024 
1049771, M, Van Dael Siem, 2362, NED, FM, 20, 2004, 131.58902097059317, 89, 2279.629213483146 
1050729, M, De Boer Bas, 2183, NED, NULL, 20, 1998, 134.06563747840946, 26, 2133.923076923077 
1051008, M, Baselmans Luuk, 2254, NED, FM, 20, 2001, 133.6288090495115, 36, 2120.6388888888887 
